objectid ,parentid,filename,format,title,creator,date,description,subject,location,latitude,longitude ,category,medium,gender,label,culture,date,location,latitude,longitude,originalowner,additionalimage
sw88,sw86,skechersplatforms_front.jpg,image/jpg,Skechers Platforms,Skechers ,1970,"American brand, mass produced, unknown if male or female gendered ","Shoes, Accessories",China,35.8617,104.1954,Shoes ,"Synthetic Leather, Rubber Sole ","Male, Female ",Somethin else from SKECHERS,Representation of genderless clothing ,2005,South Bend ,41.6764,86.252,,
sw89,sw86,skechersplatforms_label.jpg,image/jpg,Skechers Platforms,Skechers ,1970,"American brand, mass produced, unknown if male or female gendered ","Shoes, Accessories",China,35.8617,104.1954,Shoes ,"Synthetic Leather, Rubber Sole ","Male, Female ",Somethin else from SKECHERS,Representation of genderless clothing ,2005,South Bend ,41.6764,86.252,,
sw90,,,compound_object,Green heels ,Charles Jourdan ,1970,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole","Shoes, Sandals, Accessories",France ,46.2276,2.2137,Shoes ,"Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,1983-1985,Oxford,51.752,1.2577,,
sw91,sw90,greenheels_whole.jpg,image/jpg,Green heels ,Charles Jourdan ,1970,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole","Shoes, Sandals, Accessories",France ,46.2276,2.2137,Shoes ,"Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,1983-1985,Oxford,51.752,1.2577,,
sw92,sw90,greenheels_label.jpg,image/jpg,Green heels ,Charles Jourdan ,1970,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole","Shoes, Sandals, Accessories",France ,46.2276,2.2137,Shoes ,"Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,1983-1985,Oxford,51.752,1.2577,,
sw93,sw90,greenheels_toe.jpg,image/jpg,Green heels ,Charles Jourdan ,1970,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole","Shoes, Sandals, Accessories",France ,46.2276,2.2137,Shoes ,"Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,1983-1985,Oxford,51.752,1.2577,,
sw94,sw90,greenheels_sole.jpg,image/jpg,Green heels ,Charles Jourdan ,1970,"Charles Jardon heels made with high caliber green dyed leather, polyurthane green sole","Shoes, Sandals, Accessories",France ,46.2276,2.2137,Shoes ,"Leather, Polyurthane ",Female ,"CHARLES JOURDAN, PARIS, MADE IN FRANCE; LEATHER, LEDER, CUIR; POLYURETHANE; MADE IN FRANCE",,1983-1985,Oxford,51.752,1.2577,,
sw95,,,compound_object,Blue Shirt ,Bourne & Hollingsworth LTD,1940,"Late 1940s with pattern appearing more like those from the 1950s, buttons were originally cloth covered but with rust wear were changed out for plastic buttons by JB","Blouses, Shirts",London ,51.5072,0.1276,Clothing ,Synthetic,Female ,"MADE IN ENGLAND, Bourne&Hollingsworth LTD, LONDON ",Representation of renewing pieces of garment to extend use ,1988,Edinburgh ,55.9533,3.1883,,
sw96,sw95,blueshirt_front.jpg,image/jpg,Blue Shirt ,Bourne & Hollingsworth LTD,1940,"Late 1940s with pattern appearing more like those from the 1950s, buttons were originally cloth covered but with rust wear were changed out for plastic buttons by JB","Blouses, Shirts",London ,51.5072,0.1276,Clothing ,Synthetic,Female ,"MADE IN ENGLAND, Bourne&Hollingsworth LTD, LONDON ",Representation of renewing pieces of garment to extend use ,1988,Edinburgh ,55.9533,3.1883,,
sw97,sw95,blueshirt_label.jpg,image/jpg,Blue Shirt ,Bourne & Hollingsworth LTD,1940,"Late 1940s with pattern appearing more like those from the 1950s, buttons were originally cloth covered but with rust wear were changed out for plastic buttons by JB","Blouses, Shirts",London ,51.5072,0.1276,Clothing ,Synthetic,Female ,"MADE IN ENGLAND, Bourne&Hollingsworth LTD, LONDON ",Representation of renewing pieces of garment to extend use ,1988,Edinburgh ,55.9533,3.1883,,
sw98,sw95,blueshirt_bottom.jpg,image/jpg,Blue Shirt ,Bourne & Hollingsworth LTD,1940,"Late 1940s with pattern appearing more like those from the 1950s, buttons were originally cloth covered but with rust wear were changed out for plastic buttons by JB","Blouses, Shirts",London ,51.5072,0.1276,Clothing ,Synthetic,Female ,"MADE IN ENGLAND, Bourne&Hollingsworth LTD, LONDON ",Representation of renewing pieces of garment to extend use ,1988,Edinburgh ,55.9533,3.1883,,
sw99,sw95,blueshirt_buttons.jpg,image/jpg,Blue Shirt ,Bourne & Hollingsworth LTD,1940,"Late 1940s with pattern appearing more like those from the 1950s, buttons were originally cloth covered but with rust wear were changed out for plastic buttons by JB","Blouses, Shirts",London ,51.5072,0.1276,Clothing ,Synthetic,Female ,"MADE IN ENGLAND, Bourne&Hollingsworth LTD, LONDON ",Representation of renewing pieces of garment to extend use ,1988,Edinburgh ,55.9533,3.1883,,
sw100,,,compound_object,Chazal Skirt ,,1970,"Custom made in 1970s, stiched design modeled after Mauritian artist Malcolm de Chazal ",Skirts ,Mauritius ,20.3484,57.5522,Clothing ,Synthetic,Female ,,,1975,Mauritius ,20.3484,57.5522,Margaret White ,
sw101,sw100,chazalskirt_whole.jpg,image/jpg,Chazal Skirt ,,1970,"Custom made in 1970s, stiched design modeled after Mauritian artist Malcolm de Chazal ",Skirts ,Mauritius ,20.3484,57.5522,Clothing ,Synthetic,Female ,,,1975,Mauritius ,20.3484,57.5522,Margaret White ,
sw102,sw100,chazalskirt_flower.jpg,image/jpg,Chazal Skirt ,,1970,"Custom made in 1970s, stiched design modeled after Mauritian artist Malcolm de Chazal ",Skirts ,Mauritius ,20.3484,57.5522,Clothing ,Synthetic,Female ,,,1975,Mauritius ,20.3484,57.5522,Margaret White ,
sw103,sw100,chazalskirt_signature.jpg,image/jpg,Chazal Skirt ,,1970,"Custom made in 1970s, stiched design modeled after Mauritian artist Malcolm de Chazal ",Skirts ,Mauritius ,20.3484,57.5522,Clothing ,Synthetic,Female ,,,1975,Mauritius ,20.3484,57.5522,Margaret White ,
sw104,sw100,chazalskirt_structure.jpg ,image/jpg,Chazal Skirt ,,1970,"Custom made in 1970s, stiched design modeled after Mauritian artist Malcolm de Chazal ",Skirts ,Mauritius ,20.3484,57.5522,Clothing ,Synthetic,Female ,,,1975,Mauritius ,20.3484,57.5522,Margaret White ,
